Irrigation_m3_per_dunam,Yield_kg_per_dunam,Seasonal_Rainfall_mm,Cultivar,Study
50,50,200,Multiple,Miras 2023
100,70,200,Multiple,Miras 2023
168,101,206,Marta,Egea 2010
200,100,200,Multiple,Miras 2023
236,141,274,Ferragnès,Girona 2005
256,118,206,Marta,Egea 2010
300,130,200,Multiple,Miras 2023
326,150,243,Guara,Lopez 2018
332,121,206,Marta,Egea 2010
358,128,206,Marta,Egea 2010
399,148,274,Ferragnès,Girona 2005
400,160,200,Multiple,Miras 2023
500,190,200,Multiple,Miras 2023
504,215,243,Guara,Lopez 2018
526,204,243,Guara,Lopez 2018
600,215,200,Multiple,Miras 2023
600,144,206,Marta,Egea 2010
608,176,274,Ferragnès,Girona 2005
700,235,200,Multiple,Miras 2023
754,244,243,Guara,Lopez 2018
799,156,274,Ferragnès,Girona 2005
800,250,200,Multiple,Miras 2023
900,260,200,Multiple,Miras 2023
997,330,60,Nonpareil,Goldhamer 2016
1000,270,200,Multiple,Miras 2023
1050,270,200,Multiple,Miras 2023
1076,350,60,Nonpareil,Goldhamer 2016
1096,360,60,Nonpareil,Goldhamer 2016
1146,370,60,Nonpareil,Goldhamer 2016
1176,380,60,Nonpareil,Goldhamer 2016
1216,385,60,Nonpareil,Goldhamer 2016
1259,390,60,Nonpareil,Goldhamer 2016
1320,388,60,Nonpareil,Goldhamer 2016
1329,387,60,Nonpareil,Goldhamer 2016
1341,385,60,Nonpareil,Goldhamer 2016
